genes,variables,statistic,p.value,parameter,method,padj
MTAP,Collagen.bin,5.20612320887835,0.0225074682454855,1,Kruskal-Wallis rank sum test,1
MTAP,epmajor.3years,2.78706854642678,0.0950279205874262,1,Kruskal-Wallis rank sum test,1
MTAP,Fat.bin_10,1.11287640383375,0.291457535843822,1,Kruskal-Wallis rank sum test,1
MTAP,Fat.bin_40,0.247538758707833,0.618813469749138,1,Kruskal-Wallis rank sum test,1
MTAP,IPH.bin,0.191373568312201,0.661775858986011,1,Kruskal-Wallis rank sum test,1
MTAP,Macrophages.bin,0.833035442946766,0.361396265086087,1,Kruskal-Wallis rank sum test,1
MTAP,SMC.bin,0.0710432827850127,0.789823774846752,1,Kruskal-Wallis rank sum test,1
PHACTR1,Calc.bin,0.265890510983106,0.606101870206824,1,Kruskal-Wallis rank sum test,1
PHACTR1,Collagen.bin,2.36897759854535,0.123768087150054,1,Kruskal-Wallis rank sum test,1
PHACTR1,epmajor.3years,1.11857168687857,0.290226214671114,1,Kruskal-Wallis rank sum test,1
PHACTR1,Fat.bin_10,0.317323229366473,0.573220744063917,1,Kruskal-Wallis rank sum test,1
PHACTR1,Fat.bin_40,2.07136917436993,0.150086727931287,1,Kruskal-Wallis rank sum test,1
PHACTR1,IPH.bin,0.121505193937626,0.727407684600869,1,Kruskal-Wallis rank sum test,1
PHACTR1,Macrophages.bin,0.817838942326379,0.365812766852324,1,Kruskal-Wallis rank sum test,1
PHACTR1,SMC.bin,1.79628172659322,0.180162666790705,1,Kruskal-Wallis rank sum test,1
PLEKHJ1,Calc.bin,0.321535377865644,0.570686396857634,1,Kruskal-Wallis rank sum test,1
PLEKHJ1,Collagen.bin,0.978445434045795,0.322582905036695,1,Kruskal-Wallis rank sum test,1
PLEKHJ1,epmajor.3years,2.31113142462944,0.128450521602504,1,Kruskal-Wallis rank sum test,1
PLEKHJ1,Fat.bin_10,0.0752492459528143,0.783841820406863,1,Kruskal-Wallis rank sum test,1
PLEKHJ1,Fat.bin_40,3.63862517944837,0.0564535336092539,1,Kruskal-Wallis rank sum test,1
PLEKHJ1,IPH.bin,0.559699808428813,0.454381219591528,1,Kruskal-Wallis rank sum test,1
PLEKHJ1,Macrophages.bin,0.849558134416018,0.35667736944383,1,Kruskal-Wallis rank sum test,1
PLEKHJ1,SMC.bin,3.97606925703245,0.0461511431815431,1,Kruskal-Wallis rank sum test,1
RPL9,Calc.bin,0.110967615188679,0.739045197543641,1,Kruskal-Wallis rank sum test,1
RPL9,Collagen.bin,2.58651814306455,0.107777027906246,1,Kruskal-Wallis rank sum test,1
RPL9,epmajor.3years,1.93036328230251,0.164718705467096,1,Kruskal-Wallis rank sum test,1
RPL9,Fat.bin_10,1.96813466515837,0.160645996002523,1,Kruskal-Wallis rank sum test,1
RPL9,Fat.bin_40,1.1464334939228,0.284296990643659,1,Kruskal-Wallis rank sum test,1
RPL9,IPH.bin,2.64138818899029,0.104112535784801,1,Kruskal-Wallis rank sum test,1
RPL9,Macrophages.bin,1.00384335490446,0.316382312185897,1,Kruskal-Wallis rank sum test,1
RPL9,SMC.bin,2.75000916212753,0.0972538711457537,1,Kruskal-Wallis rank sum test,1
RTKN2,Calc.bin,0.0905857289700372,0.76343383904959,1,Kruskal-Wallis rank sum test,1
RTKN2,Collagen.bin,7.39901615992859,0.00652595591633949,1,Kruskal-Wallis rank sum test,1
RTKN2,epmajor.3years,0.0243176728142637,0.876079331834554,1,Kruskal-Wallis rank sum test,1
RTKN2,Fat.bin_10,2.23776545749512,0.134675478467125,1,Kruskal-Wallis rank sum test,1
RTKN2,Fat.bin_40,0.625471757827521,0.429021184312404,1,Kruskal-Wallis rank sum test,1
RTKN2,IPH.bin,0.136206020592316,0.712082258732581,1,Kruskal-Wallis rank sum test,1
RTKN2,Macrophages.bin,4.2792715969404,0.0385798780761284,1,Kruskal-Wallis rank sum test,1
RTKN2,SMC.bin,0.0294954266316574,0.863640108615323,1,Kruskal-Wallis rank sum test,1
SAMD8,Calc.bin,2.38843437184028,0.122235994177151,1,Kruskal-Wallis rank sum test,1
SAMD8,Collagen.bin,0.775301229045454,0.378582054408864,1,Kruskal-Wallis rank sum test,1
SAMD8,epmajor.3years,0.265752589656586,0.606195308304121,1,Kruskal-Wallis rank sum test,1
SAMD8,Fat.bin_10,0.130986710732714,0.717411169255588,1,Kruskal-Wallis rank sum test,1
SAMD8,Fat.bin_40,1.26880006077272,0.259991908417437,1,Kruskal-Wallis rank sum test,1
SAMD8,IPH.bin,0.664602704273193,0.414939702915738,1,Kruskal-Wallis rank sum test,1
SAMD8,Macrophages.bin,0.000200330978486818,0.988707252507059,1,Kruskal-Wallis rank sum test,1
SAMD8,SMC.bin,1.74690667960908,0.18626607885545,1,Kruskal-Wallis rank sum test,1
SMG6,Calc.bin,0.295727363951087,0.586573461942026,1,Kruskal-Wallis rank sum test,1
SMG6,Collagen.bin,0.00311834463043332,0.955467564215047,1,Kruskal-Wallis rank sum test,1
SMG6,epmajor.3years,0.0491771338842611,0.824501357940115,1,Kruskal-Wallis rank sum test,1
